Function Name
dg_addExistingList
dg_addNewList
dg_append
dg_clean
dg_copy
dg_copyExistingList
dg_create
dg_delete
dg_dir
dg_dump
dg_dumpListNames
dg_exists
dg_fromString
dg_fromString64
dg_json
dg_listnames
dg_read
dg_remove
dg_rename
dg_reset
dg_tclListnames
dg_tempname
dg_tmpname
dg_toJSON
dg_toString
dg_toString64
dg_write
dl_abs
dl_acos
dl_add
dl_and
dl_andIndex
dl_append
dl_asin
dl_atan
dl_atan2
dl_bcycle
dl_bins
dl_bmax
dl_bmean
dl_bmin
dl_bshift
dl_bshiftcycle
dl_bsort
dl_bsort_indices
dl_bstd
dl_bsums
dl_ceil
dl_char
dl_choose
dl_clean
dl_cleanReturns
dl_clist
dl_collapse
dl_combine
dl_concat
dl_conv
dl_conv2
dl_cos
dl_cosh
dl_countOccurences
dl_create
dl_cumprod
dl_cumsum
dl_cycle
dl_datatype
dl_deep_pack
dl_deep_unpack
dl_delete
dl_deleteTrace
dl_depth
dl_diff
dl_dir
dl_div
dl_dotimes
dl_dump
dl_dumpAsRow
dl_dumpMatrix
dl_dumpMatrixInCols
dl_eq
dl_eqIndex
dl_exists
dl_exp
dl_fill
dl_find
dl_findAll
dl_findIndices
dl_findPatterns
dl_first
dl_firstPos
dl_first_index_list
dl_flist
dl_float
dl_floor
dl_fmod
dl_foreach
dl_fromto
dl_gaussian2D
dl_generateDynList
dl_get
dl_gt
dl_gtIndex
dl_gte
dl_gteIndex
dl_help
dl_hist
dl_histBins
dl_histLists
dl_hmean
dl_hstd
dl_hvar
dl_idiff
dl_ilist
dl_incr
dl_increment
dl_index
dl_index_list
dl_insert
dl_int
dl_interleave
dl_irand
dl_isMatrix
dl_last
dl_lastPos
dl_last_index_list
dl_length
dl_lengths
dl_lgamma
dl_llength
dl_llist
dl_local
dl_log
dl_log10
dl_lt
dl_ltIndex
dl_lte
dl_lteIndex
dl_max
dl_max_positions
dl_mean
dl_mean_list
dl_min
dl_min_positions
dl_mod
dl_mult
dl_negate
dl_not
dl_noteq
dl_noteqIndex
dl_oneof
dl_ones
dl_or
dl_orIndex
dl_pack
dl_parzen
dl_parzenLists
dl_pickone
dl_popTemps
dl_pow
dl_prepend
dl_prod
dl_pushTemps
dl_put
dl_randchoose
dl_randfill
dl_rank
dl_recip
dl_regexp
dl_regmatch
dl_rename
dl_repeat
dl_repeat
dl_repeatElements
dl_repeat_elts
dl_replace
dl_replaceByIndex
dl_replicate
dl_replicate
dl_reset
dl_return
dl_round
dl_scan
dl_scanBinary
dl_scanFloat
dl_scanHex
dl_scanInt
dl_scanOctal
dl_sdf
dl_sdfLists
dl_sdfListsRecursive
dl_select
dl_series
dl_series
dl_set
dl_setFormat
dl_shift
dl_shiftcycle
dl_short
dl_shuffle
dl_sign
dl_sin
dl_sinh
dl_slist
dl_sort
dl_sortIndices
dl_spliceAfter
dl_spliceBefore
dl_sqrt
dl_std
dl_stringmatch
dl_sub
dl_sublist
dl_subshift
dl_sum
dl_sumcols_list
dl_tan
dl_tanh
dl_tcllist
dl_tempname
dl_tmpname
dl_transpose
dl_transpose_at
dl_uchar
dl_ufloat
dl_uint
dl_unique
dl_uniqueNoSort
dl_unpack
dl_urand
dl_ushort
dl_var
dl_write
dl_writeAs
dl_zeros
dl_zrand
